"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
1,5,1000,0.01,0.005,0.0144,72.5,-37965.7538,0.507,0,0.508
1,5,10000,0.01,0.0017,0.0181,64.9,-157265.6055,0.792,0.003,0.8
1,5,1,0.001,0.038,0.041,647.6,-474.9838,1.343,0.064,1.406
1,5,10,0.001,0.0242,0.0264,304.1,-2365.3754,0.702,0.003,0.715
1,5,100,0.001,0.0158,0.0172,165.2,-13113.1484,0.457,0.001,0.469
1,5,1000,0.001,0.0107,0.0128,105.5,-82751.0258,0.424,0,0.431
1,5,10000,0.001,0.0072,0.0116,73.4,-500790.7965,0.573,0.007,0.586
1,5,1,1e-04,0.0542,0.0546,1635.6,-1166.7747,2.586,0.102,2.692
1,5,10,1e-04,0.0437,0.0458,662.2,-4948.9634,1.182,0.042,1.228
1,5,100,1e-04,0.0306,0.0322,310.2,-24907.6624,0.695,0.014,0.71
1,5,1000,1e-04,0.025,0.0274,193.2,-168498.4682,0.502,0.006,0.509
1,5,10000,1e-04,0.0152,0.018,149.6,-1224678.7053,0.492,0,0.493
1,6,1,1,9e-04,0.0112,782.9,-139.1803,1.557,0.067,1.655
1,6,10,1,0,0.012,773.8,-148.151,1.566,0.047,1.638
1,6,100,1,0,0.0124,776.4,-152.0845,1.512,0.062,1.58
